timestamp,open,high,low,close,volume,isEmaUptrend,isEmaDowntrend,isSmaUptrend,isSmaDowntrend,prediction,signal,barsHeld,isEarlySignalFlip,isLastSignalBuy,isLastSignalSell,isNewBuySignal,isNewSellSignal,startLongTrade,startShortTrade,endLongTrade,endShortTrade
2025-04-22 03:55:00,599.45,599.45,599.44,599.45,16.245,True,True,True,True,0,0,1,False,False,False,False,False,,,,
2025-04-22 03:56:00,599.44,599.45,599.44,599.45,8.996,True,True,True,True,0,0,2,False,False,False,False,False,,,,
2025-04-22 03:57:00,599.44,599.82,599.44,599.82,113.372,True,True,True,True,0,0,3,False,False,False,False,False,,,,
2025-04-22 03:58:00,599.82,600.0,599.81,600.0,110.762,True,True,True,True,0,0,4,False,False,False,False,False,,,,
2025-04-22 03:59:00,600.0,600.0,599.98,599.98,38.83,True,True,True,True,0,0,5,False,False,False,False,False,,,,
2025-04-22 04:00:00,599.98,600.25,599.9,600.18,274.297,True,True,True,True,0,0,6,False,False,False,False,False,,,,
2025-04-22 04:01:00,600.18,600.29,600.1,600.28,120.056,True,True,True,True,0,0,7,False,False,False,False,False,,,,
2025-04-22 04:02:00,600.29,600.3,600.2,600.3,51.161,True,True,True,True,0,0,8,False,False,False,False,False,,,,
2025-04-22 04:03:00,600.29,600.57,600.29,600.53,96.306,True,True,True,True,0,0,9,False,False,False,False,False,,,,
2025-04-22 04:04:00,600.52,600.62,600.36,600.62,51.716,True,True,True,True,0,0,10,False,False,False,False,False,,,,
2025-04-22 04:05:00,600.62,600.74,600.61,600.74,39.051,True,True,True,True,0,0,11,False,False,False,False,False,,,,
2025-04-22 04:06:00,600.73,600.88,600.73,600.87,31.1,True,True,True,True,0,0,12,False,False,False,False,False,,,,
2025-04-22 04:07:00,600.88,600.88,600.85,600.85,27.798,True,True,True,True,0,0,13,False,False,False,False,False,,,,
2025-04-22 04:08:00,600.86,600.86,600.61,600.72,63.652,True,True,True,True,0,0,14,False,False,False,False,False,,,,
2025-04-22 04:09:00,600.72,600.88,600.5,600.51,600.959,True,True,True,True,0,0,15,False,False,False,False,False,,,,
2025-04-22 04:10:00,600.5,600.57,600.5,600.56,24.669,True,True,True,True,0,0,16,False,False,False,False,False,,,,
2025-04-22 04:11:00,600.56,600.57,600.22,600.23,148.9,True,True,True,True,0,0,17,False,False,False,False,False,,,,
2025-04-22 04:12:00,600.22,600.28,599.98,599.99,67.261,True,True,True,True,0,0,18,False,False,False,False,False,,,,
2025-04-22 04:13:00,599.98,599.99,599.83,599.83,81.515,True,True,True,True,0,0,19,False,False,False,False,False,,,,
2025-04-22 04:14:00,599.83,599.94,599.83,599.92,52.206,True,True,True,True,0,0,20,False,False,False,False,False,,,,
2025-04-22 04:15:00,599.91,599.93,599.61,599.63,60.347,True,True,True,True,0,0,21,False,False,False,False,False,,,,
2025-04-22 04:16:00,599.63,599.64,599.52,599.53,20.736,True,True,True,True,0,0,22,False,False,False,False,False,,,,
2025-04-22 04:17:00,599.52,599.53,599.52,599.52,15.37,True,True,True,True,0,0,23,False,False,False,False,False,,,,
2025-04-22 04:18:00,599.53,599.68,599.52,599.68,27.51,True,True,True,True,0,0,24,False,False,False,False,False,,,,
2025-04-22 04:19:00,599.68,599.78,599.61,599.78,40.513,True,True,True,True,0,0,25,False,False,False,False,False,,,,
2025-04-22 04:20:00,599.79,599.9,599.79,599.81,26.062,True,True,True,True,0,0,26,False,False,False,False,False,,,,
2025-04-22 04:21:00,599.81,599.9,599.8,599.89,12.662,True,True,True,True,0,0,27,False,False,False,False,False,,,,
2025-04-22 04:22:00,599.9,599.99,599.8,599.99,135.119,True,True,True,True,0,0,28,False,False,False,False,False,,,,
2025-04-22 04:23:00,600.0,600.21,599.99,600.21,23.404,True,True,True,True,0,0,29,False,False,False,False,False,,,,
2025-04-22 04:24:00,600.21,600.21,600.2,600.21,38.719,True,True,True,True,0,0,30,False,False,False,False,False,,,,
2025-04-22 04:25:00,600.2,600.21,600.0,600.18,23.899,True,True,True,True,0,0,31,False,False,False,False,False,,,,
2025-04-22 04:26:00,600.18,600.18,600.0,600.01,16.735,True,True,True,True,-1,0,32,False,False,False,False,False,,,,
2025-04-22 04:27:00,600.0,600.01,599.9,599.9,31.737,True,True,True,True,-2,0,33,False,False,False,False,False,,,,
2025-04-22 04:28:00,599.91,600.16,599.9,600.16,38.455,True,True,True,True,-3,0,34,False,False,False,False,False,,,,
2025-04-22 04:29:00,600.16,600.25,600.15,600.25,19.228,True,True,True,True,-4,0,35,False,False,False,False,False,,,,
2025-04-22 04:30:00,600.25,600.3,600.09,600.1,25.802,True,True,True,True,-5,0,36,False,False,False,False,False,,,,
2025-04-22 04:31:00,600.1,600.14,600.04,600.06,42.225,True,True,True,True,-6,0,37,False,False,False,False,False,,,,
2025-04-22 04:32:00,600.07,600.11,600.06,600.1,67.491,True,True,True,True,-7,0,38,False,False,False,False,False,,,,
2025-04-22 04:33:00,600.09,600.09,600.0,600.05,14.983,True,True,True,True,-8,0,39,False,False,False,False,False,,,,
2025-04-22 04:34:00,600.05,600.07,600.04,600.06,22.628,True,True,True,True,-8,0,40,False,False,False,False,False,,,,
2025-04-22 04:35:00,600.07,600.09,600.0,600.0,15.852,True,True,True,True,-6,0,41,False,False,False,False,False,,,,
2025-04-22 04:36:00,600.01,600.01,600.0,600.01,13.31,True,True,True,True,-2,0,42,False,False,False,False,False,,,,
2025-04-22 04:37:00,600.01,600.01,599.83,599.84,41.888,True,True,True,True,-2,0,43,False,False,False,False,False,,,,
2025-04-22 04:38:00,599.84,599.87,599.71,599.87,61.026,True,True,True,True,-2,0,44,False,False,False,False,False,,,,
2025-04-22 04:39:00,599.87,600.2,599.87,600.2,34.325,True,True,True,True,-4,0,45,False,False,False,False,False,,,,
2025-04-22 04:40:00,600.2,600.26,600.17,600.17,32.203,True,True,True,True,-4,0,46,False,False,False,False,False,,,,
2025-04-22 04:41:00,600.18,600.22,599.97,600.02,86.974,True,True,True,True,-2,0,47,False,False,False,False,False,,,,
2025-04-22 04:42:00,600.01,600.14,600.01,600.1,39.215,True,True,True,True,-4,0,48,False,False,False,False,False,,,,
2025-04-22 04:43:00,600.11,600.2,600.1,600.19,30.331,True,True,True,True,-4,0,49,False,False,False,False,False,,,,
2025-04-22 04:44:00,600.19,600.2,600.1,600.11,32.521,True,True,True,True,-2,0,50,False,False,False,False,False,,,,
2025-04-22 04:45:00,600.1,600.14,600.1,600.14,32.501,True,True,True,True,-4,0,51,False,False,False,False,False,,,,
2025-04-22 04:46:00,600.14,600.29,600.13,600.25,75.713,True,True,True,True,2,0,52,False,False,False,False,False,,,,
2025-04-22 04:47:00,600.24,600.25,600.05,600.14,55.599,True,True,True,True,4,0,53,False,False,False,False,False,,,,
2025-04-22 04:48:00,600.14,600.15,600.14,600.15,17.077,True,True,True,True,-2,0,54,False,False,False,False,False,,,,
2025-04-22 04:49:00,600.15,600.2,600.14,600.19,16.045,True,True,True,True,-2,0,55,False,False,False,False,False,,,,
2025-04-22 04:50:00,600.2,600.2,600.03,600.04,39.977,True,True,True,True,-4,0,56,False,False,False,False,False,,,,
2025-04-22 04:51:00,600.04,600.04,599.83,599.84,29.42,True,True,True,True,-2,0,57,False,False,False,False,False,,,,
2025-04-22 04:52:00,599.84,599.84,599.83,599.84,7.239,True,True,True,True,-2,0,58,False,False,False,False,False,,,,
2025-04-22 04:53:00,599.83,599.88,599.83,599.88,16.327,True,True,True,True,-4,0,59,False,False,False,False,False,,,,
2025-04-22 04:54:00,599.88,600.18,599.87,600.17,30.49,True,True,True,True,-4,0,60,False,False,False,False,False,,,,
2025-04-22 04:55:00,600.18,600.18,600.03,600.03,22.663,True,True,True,True,-4,0,61,False,False,False,False,False,,,,
2025-04-22 04:56:00,600.04,600.04,599.8,599.81,36.355,True,True,True,True,-2,0,62,False,False,False,False,False,,,,
2025-04-22 04:57:00,599.81,600.09,599.69,600.0,239.568,True,True,True,True,-4,0,63,False,False,False,False,False,,,,
2025-04-22 04:58:00,600.0,600.01,599.54,599.55,483.325,True,True,True,True,-2,0,64,False,False,False,False,False,,,,
2025-04-22 04:59:00,599.54,599.55,599.24,599.25,64.812,True,True,True,True,-2,0,65,False,False,False,False,False,,,,
2025-04-22 05:00:00,599.24,599.49,599.24,599.44,52.877,True,True,True,True,-4,0,66,False,False,False,False,False,,,,
2025-04-22 05:01:00,599.45,599.47,599.28,599.28,73.384,True,True,True,True,-4,0,67,False,False,False,False,False,,,,
2025-04-22 05:02:00,599.29,600.1,599.28,600.01,141.406,True,True,True,True,-4,0,68,False,False,False,False,False,,,,
2025-04-22 05:03:00,600.02,600.07,599.92,600.06,139.77,True,True,True,True,-4,0,69,False,False,False,False,False,,,,
2025-04-22 05:04:00,600.07,600.16,599.99,599.99,62.934,True,True,True,True,2,0,70,False,False,False,False,False,,,,
2025-04-22 05:05:00,599.99,600.21,599.97,600.21,71.954,True,True,True,True,6,0,71,False,False,False,False,False,,,,
2025-04-22 05:06:00,600.22,600.41,600.22,600.41,18.479,True,True,True,True,4,0,72,False,False,False,False,False,,,,
2025-04-22 05:07:00,600.41,600.64,600.4,600.63,25.454,True,True,True,True,-2,0,73,False,False,False,False,False,,,,
2025-04-22 05:08:00,600.64,600.64,600.02,600.25,224.125,True,True,True,True,-2,0,74,False,False,False,False,False,,,,
2025-04-22 05:09:00,600.25,600.59,600.24,600.59,32.529,True,True,True,True,0,0,75,False,False,False,False,False,,,,
2025-04-22 05:10:00,600.6,600.67,600.59,600.66,51.318,True,True,True,True,6,0,76,False,False,False,False,False,,,,
2025-04-22 05:11:00,600.67,600.7,600.54,600.7,104.056,True,True,True,True,4,0,77,False,False,False,False,False,,,,
2025-04-22 05:12:00,600.7,600.7,600.37,600.41,68.678,True,True,True,True,-2,0,78,False,False,False,False,False,,,,
2025-04-22 05:13:00,600.41,600.5,600.4,600.5,49.183,True,True,True,True,0,0,79,False,False,False,False,False,,,,
2025-04-22 05:14:00,600.49,600.5,600.33,600.42,72.075,True,True,True,True,0,0,80,False,False,False,False,False,,,,
2025-04-22 05:15:00,600.43,600.54,600.25,600.25,90.725,True,True,True,True,-2,0,81,False,False,False,False,False,,,,
2025-04-22 05:16:00,600.26,600.26,600.2,600.2,32.847,True,True,True,True,-2,0,82,False,False,False,False,False,,,,
2025-04-22 05:17:00,600.21,600.6,600.2,600.59,296.093,True,True,True,True,-2,0,83,False,False,False,False,False,,,,
2025-04-22 05:18:00,600.59,600.76,600.55,600.76,94.014,True,True,True,True,4,0,84,False,False,False,False,False,,,,
2025-04-22 05:19:00,600.75,600.76,600.53,600.68,48.052,True,True,True,True,2,0,85,False,False,False,False,False,,,,
2025-04-22 05:20:00,600.68,600.68,600.12,600.3,403.574,True,True,True,True,2,0,86,False,False,False,False,False,,,,
2025-04-22 05:21:00,600.29,600.3,600.11,600.12,24.148,True,True,True,True,-2,0,87,False,False,False,False,False,,,,
2025-04-22 05:22:00,600.11,600.12,600.11,600.11,24.048,True,True,True,True,-2,0,88,False,False,False,False,False,,,,
2025-04-22 05:23:00,600.11,600.12,600.0,600.01,41.408,True,True,True,True,-4,0,89,False,False,False,False,False,,,,
2025-04-22 05:24:00,600.01,600.2,600.0,600.2,28.99,True,True,True,True,-4,0,90,False,False,False,False,False,,,,
2025-04-22 05:25:00,600.2,600.2,600.06,600.06,43.625,True,True,True,True,-4,0,91,False,False,False,False,False,,,,
2025-04-22 05:26:00,600.05,600.2,599.91,600.19,159.441,True,True,True,True,-4,0,92,False,False,False,False,False,,,,
2025-04-22 05:27:00,600.19,600.2,600.18,600.2,51.446,True,True,True,True,-4,0,93,False,False,False,False,False,,,,
2025-04-22 05:28:00,600.2,600.39,600.19,600.38,47.479,True,True,True,True,-4,0,94,False,False,False,False,False,,,,
2025-04-22 05:29:00,600.38,600.57,600.38,600.57,41.94,True,True,True,True,-2,0,95,False,False,False,False,False,,,,
2025-04-22 05:30:00,600.56,600.57,600.26,600.33,106.03,True,True,True,True,-4,0,96,False,False,False,False,False,,,,
2025-04-22 05:31:00,600.32,600.33,600.32,600.33,37.975,True,True,True,True,0,0,97,False,False,False,False,False,,,,
2025-04-22 05:32:00,600.33,600.81,600.33,600.72,122.385,True,True,True,True,0,0,98,False,False,False,False,False,,,,
2025-04-22 05:33:00,600.72,600.73,600.57,600.58,31.24,True,True,True,True,0,0,99,False,False,False,False,False,,,,
